Name,Catalogue,Paper,ID,Source,Table No.,Link,Reference Paper DOI,Index,Key,RA Column,DEC Column,Z,Best Z,Quality_Flags,Type_Flag,Marker size,Saved,Use
HSC-SSP,Redshifts for galaxies in the HSC-SSP and unWISE,Photometric redshifts for galaxies in the Subaru Hyper Suprime-Cam and unWISE and a catalogue of identified clusters of galaxies,J/MNRAS/500/1003,Vizier,0,https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.1003W/abstract,10.1093/mnras/staa3308,recno,None,RAJ2000,DEJ2000,"[""zph""]",zph,None,None,0.01,Yes,Yes
ACS-GC,The ACS-GC catalog,The Advanced Camera for Surveys General Catalog: Structural Parameters for Approximately Half a Million Galaxies,J/ApJS/200/9,Vizier,0,https://ui.adsabs.harvard.edu/abs/2012ApJS..200....9G/abstract,10.1088/0067-0049/200/1/9,recno,None,RAJ2000,DEJ2000,"[""zph"",""zsp""]",zsp,"["""",""q_zsp""]","[""Class""]",0.01,Yes,Yes
COSMOS2015-ML,COSMOS2015 dataset machine learning photo-z,Improving the reliability of photometric redshift with machine learning,J/MNRAS/507/5034,Vizier,0,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.5034R/abstract,10.1093/mnras/stab2334,recno,None,RAJ2000,DEJ2000,"[""zphMl"",""zphSED""]",zphMl,None,None,0.01,No,Yes
S-CANDELS,Spitzer-CANDELS catalog within 5 deep fields,"S-CANDELS: The Spitzer-Cosmic Assembly Near-Infrared Deep Extragalactic Survey. Survey Design, Photometry, and Deep IRAC Source Counts",J/ApJS/218/33 ,Vizier,1,https://ui.adsabs.harvard.edu/abs/2015ApJS..218...33A/abstract,10.1088/0067-0049/218/2/33,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
WANG-2014,COSMOS2020-MIPS-PACS-SPIRE-SCUBA catalog,Probabilistic and progressive deblended far-infrared and sub-millimetre point source catalogues. I. Methodology and first application in the COSMOS field,J/A+A/688/A20 ,Vizier,0,https://ui.adsabs.harvard.edu/abs/2024A%26A...688A..20W/abstract,10.1051/0004-6361/202349055,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
HSC-Wide-AGN,Machine learning predicted AGNs in HSC-Wide region,Identifying AGN Host Galaxies by Machine Learning with HSC+WISE,J/ApJ/920/68,Vizier,0,https://ui.adsabs.harvard.edu/abs/2021ApJ...920...68C/abstract,10.3847/1538-4357/ac167c,recno,None,RAJ2000,DEJ2000,None,None,None,"[""XAGN"",""IRAGN"",""RAGN""]",0.01,No,Yes
COSMOS-K,COSMOS/UltraVISTA Ks-selected catalogs,"A Public Ks -selected Catalog in the COSMOS/ULTRAVISTA Field: Photometry, Photometric Redshifts, and Stellar Population Parameters",J/ApJS/206/8,Vizier,"[3,4]",https://ui.adsabs.harvard.edu/abs/2013ApJS..206....8M/abstract,10.1088/0067-0049/206/1/8,recno,Seq,RAJ2000,DEJ2000,"[""zsp_x"",""zsp_y"",""zCOSMOS"",""zp"",""zpk""]",zsp_y,"["""",""CC"","""","""",""""]",None,0.01,No,Yes
HERSCHEL,Herschel Multi-tiered Extragalactic Survey,The Herschel Multi-tiered Extragalactic Survey: HerMES,VIII/95,Vizier,7,https://ui.adsabs.harvard.edu/abs/2012MNRAS.424.1614O/abstract,10.1111/j.1365-2966.2012.20912.x,recno,None,RAJ2000,DEJ2000,None,None,None,None,0.01,No,Yes
PAU,Star-galaxy multi narrow-band classification,The PAU survey: star-galaxy classification with multi narrow-band data,J/MNRAS/483/529,Vizier,0,https://ui.adsabs.harvard.edu/abs/2019MNRAS.483..529C/abstract,10.1093/mnras/sty3129,recno,None,RAJ2000,DEJ2000,None,None,None,"[""Starflag""]",0.01,No,Yes
ALHAMBRA,ALHAMBRA Survey,The ALHAMBRA Survey: Bayesian photometric redshifts with 23 bands for 3 deg,J/MNRAS/441/2891,Vizier,1,https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.2891M/abstract,10.1093/mnras/stu387,recno,None,RAJ2000,DEJ2000,"[""zml""]",zml,None,"[""tml""]",0.01,No,Yes
